day,date,portfolio_value,daily_return_pct,cumulative_return_pct
1,2024-09-02,660545.56,0,-33.9454
2,2024-09-03,659982.3,-0.0853,-34.0018
3,2024-09-04,659267.39,-0.1083,-34.0733
4,2024-09-05,658878.07,-0.0591,-34.1122
5,2024-09-06,662775.91,0.5916,-33.7224
6,2024-09-09,662298.24,-0.0721,-33.7702
7,2024-09-10,654563.37,-1.1679,-34.5437
8,2024-09-11,656499.93,0.2959,-34.35
9,2024-09-12,655292.82,-0.1839,-34.4707
10,2024-09-13,654352.04,-0.1436,-34.5648
11,2024-09-16,655154.98,0.1227,-34.4845
12,2024-09-17,656569.06,0.2158,-34.3431
13,2024-09-18,662877.68,0.9608,-33.7122
14,2024-09-19,666558.7,0.5553,-33.3441
15,2024-09-20,667347.94,0.1184,-33.2652
16,2024-09-23,663606.41,-0.5607,-33.6394
17,2024-09-24,658418.8,-0.7817,-34.1581
18,2024-09-25,659913.9,0.2271,-34.0086
19,2024-09-26,667033.47,1.0789,-33.2967
20,2024-09-27,667455.88,0.0633,-33.2544
21,2024-09-30,667088.38,-0.0551,-33.2912
22,2024-10-01,670126.44,0.4554,-32.9874
23,2024-10-02,662535.01,-1.1328,-33.7465
24,2024-10-03,661078.61,-0.2198,-33.8921
25,2024-10-04,663870.28,0.4223,-33.613
26,2024-10-07,668708.06,0.7287,-33.1292
27,2024-10-08,667621.38,-0.1625,-33.2379
28,2024-10-09,669833.08,0.3313,-33.0167
29,2024-10-10,671364.12,0.2286,-32.8636
30,2024-10-11,675767.34,0.6559,-32.4233
31,2024-10-14,669951.84,-0.8606,-33.0048
32,2024-10-15,673198.43,0.4846,-32.6802
33,2024-10-16,665243.81,-1.1816,-33.4756
34,2024-10-17,651500.16,-2.066,-34.85
35,2024-10-18,648532.49,-0.4555,-35.1468
36,2024-10-21,643975.59,-0.7026,-35.6024
37,2024-10-22,648681.83,0.7308,-35.1318
38,2024-10-23,652323.61,0.5614,-34.7676
39,2024-10-24,646157.46,-0.9453,-35.3843
40,2024-10-25,650731.54,0.7079,-34.9268
41,2024-10-28,645709.44,-0.7718,-35.4291
42,2024-10-29,645457.64,-0.039,-35.4542
43,2024-10-30,644133.68,-0.2051,-35.5866
44,2024-10-31,644916.53,0.1215,-35.5083
45,2024-11-01,649333.63,0.6849,-35.0666
46,2024-11-04,652844.77,0.5407,-34.7155
47,2024-11-05,654867.99,0.3099,-34.5132
48,2024-11-06,658469.5,0.55,-34.1531
49,2024-11-07,661187.62,0.4128,-33.8812
50,2024-11-08,658069.53,-0.4716,-34.193
51,2024-11-11,654490.31,-0.5439,-34.551
52,2024-11-12,652225.94,-0.346,-34.7774
53,2024-11-13,655027.0,0.4295,-34.4973
54,2024-11-14,653912.85,-0.1701,-34.6087
55,2024-11-15,666328.06,1.8986,-33.3672
56,2024-11-18,662160.62,-0.6254,-33.7839
57,2024-11-19,656538.21,-0.8491,-34.3462
58,2024-11-20,660771.43,0.6448,-33.9229
59,2024-11-21,668485.81,1.1675,-33.1514
60,2024-11-22,671390.74,0.4346,-32.8609
61,2024-11-25,676081.44,0.6987,-32.3919
62,2024-11-26,683998.86,1.1711,-31.6001
63,2024-11-27,683689.55,-0.0452,-31.631
64,2024-11-28,676111.75,-1.1084,-32.3888
65,2024-11-29,673436.64,-0.3957,-32.6563
